"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Delivery Note → Sales Invoice → Payment Entry","chromium","2026-01-20","skipped","2026-01-20","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","437","Log in as new random User via LogInUtils","chromium","2026-01-20","failed","2026-01-20","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","2","Create new Item","chromium","2026-01-20","failed","2026-01-20","Create item @item @api","specs/api/item.spec.ts","",""
"","165","A new User with role Accounts","chromium","2026-01-20","failed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","465","Check company presence and run set up if there is no company","chromium","2026-01-20","failed","2026-01-20","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","92","Create new Supplier","chromium","2026-01-20","failed","2026-01-20","Create Supplier @supplier @api","specs/api/supplier.spec.ts","",""
"","198","A new User with role Sales","chromium","2026-01-20","failed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","0","Log in as ABOBA_BOBA and store sessionContext","chromium","2026-01-20","skipped","2026-01-20","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","166","A new User with role Purchase","chromium","2026-01-20","failed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1","Procurement","chromium","2026-01-20","skipped","2026-01-20","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","95","A new User with role Inventory","chromium","2026-01-20","failed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","97","Create new Customer","chromium","2026-01-20","failed","2026-01-20","Create Customer @customer @api","specs/api/customer.spec.ts","",""
"","0","Log in as ABOBA_BOBA via LogInUtils & storageState","chromium","2026-01-20","skipped","2026-01-20","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","390","Quotation → Sales Order","chromium","2026-01-20","failed","2026-01-20","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","196","A new User with role Manufacturing","chromium","2026-01-20","failed","2026-01-20","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1","Set supplier for Item","chromium","2026-01-20","skipped","2026-01-20","Create item @item @api","specs/api/item.spec.ts","",""
